Entity,Year,Annual_CO2_Emmision
Cambodia,2020,19034220
Cambodia,2019,18219576
Cambodia,2018,13933845
Cambodia,2017,12475530
Cambodia,2016,10921712
Cambodia,2015,8365610
Cambodia,2014,6834254
Cambodia,2013,5636730
Cambodia,2012,5576016
Cambodia,2011,5274698
Cambodia,2010,5078142
Cambodia,2009,4557086
Cambodia,2008,3866716
Cambodia,2007,3471142
Cambodia,2006,2997152
Cambodia,2005,2773648
Cambodia,2004,2443888
Cambodia,2003,2377936
Cambodia,2002,2205728
Cambodia,2001,2249696
Cambodia,2000,1974896
Cambodia,1999,1894288
Cambodia,1998,1962680
Cambodia,1997,1551863
Cambodia,1996,1631315
Cambodia,1995,1555486
Cambodia,1994,1481907
Cambodia,1993,1384992
Cambodia,1992,1348352
Cambodia,1991,1304384
Cambodia,1990,1260416
Cambodia,1989,450672
Cambodia,1988,450672
Cambodia,1987,436016
Cambodia,1986,432352
Cambodia,1985,417696
Cambodia,1984,410368
Cambodia,1983,366400
Cambodia,1982,337088
Cambodia,1981,300448
