Country,Year,Annual_CO2_Emmision
Indonesia,2022,728883260
Indonesia,2021,615923400
Indonesia,2020,605984600
Indonesia,2019,650905900
Indonesia,2018,594101400
Indonesia,2017,556944200
Indonesia,2016,540085600
Indonesia,2015,539149250
Indonesia,2014,487889950
Indonesia,2013,489055100
Indonesia,2012,515954180
Indonesia,2011,500724540
Indonesia,2010,445806080
Indonesia,2009,398942050
Indonesia,2008,365718300
Indonesia,2007,387858050
Indonesia,2006,346633440
Indonesia,2005,347617020
Indonesia,2004,343021500
Indonesia,2003,339357470
Indonesia,2002,308485920
Indonesia,2001,317027200
Indonesia,2000,281330370
Indonesia,1999,292000930
Indonesia,1998,244522960
Indonesia,1997,279941500
Indonesia,1996,253065010
Indonesia,1995,222410480
Indonesia,1994,219371660
Indonesia,1993,215108740
Indonesia,1992,199418670
Indonesia,1991,174865010
Indonesia,1990,155080830
Indonesia,1989,131673520
Indonesia,1988,132721210
Indonesia,1987,123878480
Indonesia,1986,122166080
Indonesia,1985,121597384
Indonesia,1984,112460230
Indonesia,1983,105183850
Indonesia,1982,105583976
Indonesia,1981,100297050
