Year,Population
2020,271857970
2019,269582878
2018,267066843
2017,264498852
2016,261850182
2015,259091970
2014,256229761
2013,253275918
2012,250222695
2011,247099697
2010,244016173
2009,240981299
2008,237936543
2007,234858289
2006,231797427
2005,228805144
2004,225938595
2003,223080121
2002,220115092
2001,217112437
2000,214072421
1999,210996910
1998,207855486
1997,204628007
1996,201373791
1995,198140162
1994,194928533
1993,191737287
1992,188558416
1991,185361228
1990,182159874
1989,178949174
1988,175694647
1987,172421390
1986,169135273
1985,165791694
1984,162331962
1983,158790611
1982,155228658
1981,151686337
