Entity,Year,avgTemperature
Indonesia,2020,25.66424
Indonesia,2019,25.5684
Indonesia,2018,25.43818
Indonesia,2017,25.43472
Indonesia,2016,25.77074
Indonesia,2015,25.45813
Indonesia,2014,25.34975
Indonesia,2013,25.29256
Indonesia,2012,25.17441
Indonesia,2011,25.1034
Indonesia,2010,25.42474
Indonesia,2009,25.29811
Indonesia,2008,24.92886
Indonesia,2007,25.10431
Indonesia,2006,25.09938
Indonesia,2005,25.1247
Indonesia,2004,25.05004
Indonesia,2003,25.05222
Indonesia,2002,25.0872
Indonesia,2001,24.93264
Indonesia,2000,24.83155
Indonesia,1999,24.79728
Indonesia,1998,25.44981
Indonesia,1997,25.03083
Indonesia,1996,24.84111
Indonesia,1995,24.83231
Indonesia,1994,24.72585
Indonesia,1993,24.72062
Indonesia,1992,24.58094
Indonesia,1991,24.61491
Indonesia,1990,24.70223
Indonesia,1989,24.52587
Indonesia,1988,24.81505
Indonesia,1987,24.85205
Indonesia,1986,24.53539
Indonesia,1985,24.44772
Indonesia,1984,24.37018
Indonesia,1983,24.88517
Indonesia,1982,24.6043
Indonesia,1981,24.61403
