Entity,Year,Annual_CO2_Emmision
Laos,2020,19674886
Laos,2019,19534332
Laos,2018,20558106
Laos,2017,19683848
Laos,2016,16458120
Laos,2015,9229252
Laos,2014,4449693
Laos,2013,4261159
Laos,2012,3397982
Laos,2011,3170104
Laos,2010,3004513
Laos,2009,2667456
Laos,2008,2131341
Laos,2007,1835383
Laos,2006,1757335
Laos,2005,1337012
Laos,2004,1282484
Laos,2003,1220964
Laos,2002,1165768
Laos,2001,1062694
Laos,2000,960400
Laos,1999,845838
Laos,1998,820068
Laos,1997,792409
Laos,1996,749891
Laos,1995,670900
Laos,1994,634264
Laos,1993,607425
Laos,1992,592727
Laos,1991,545936
Laos,1990,512960.03
Laos,1989,230832
Laos,1988,212512
Laos,1987,212512
Laos,1986,208848
Laos,1985,205184
Laos,1984,183200
Laos,1983,179536
Laos,1982,157552
Laos,1981,150224
