Year,Population
2020,7319399
2019,7212053
2018,7105006
2017,6997917
2016,6891363
2015,6787419
2014,6691454
2013,6600742
2012,6508803
2011,6416327
2010,6323418
2009,6229930
2008,6135861
2007,6041348
2006,5946593
2005,5852970
2004,5768167
2003,5689065
2002,5606101
2001,5519707
2000,5430853
1999,5340056
1998,5246922
1997,5150538
1996,5043914
1995,4927432
1994,4807950
1993,4685296
1992,4561106
1991,4437225
1990,4314443
1989,4193532
1988,4074961
1987,3959697
1986,3848390
1985,3741604
1984,3639956
1983,3543861
1982,3453691
1981,3370993
