Entity,Year,avgTemperature
Laos,2020,23.81303
Laos,2019,24.18384
Laos,2018,23.31208
Laos,2017,23.46234
Laos,2016,23.65354
Laos,2015,23.69584
Laos,2014,23.24635
Laos,2013,23.14174
Laos,2012,23.56969
Laos,2011,22.44354
Laos,2010,23.62869
Laos,2009,23.13724
Laos,2008,22.42327
Laos,2007,23.07201
Laos,2006,23.24695
Laos,2005,23.11386
Laos,2004,22.72159
Laos,2003,23.15217
Laos,2002,23.08454
Laos,2001,23.01663
Laos,2000,22.70171
Laos,1999,22.67602
Laos,1998,23.68318
Laos,1997,22.84037
Laos,1996,22.50554
Laos,1995,22.70937
Laos,1994,22.77692
Laos,1993,22.49653
Laos,1992,22.50693
Laos,1991,23.08819
Laos,1990,22.81649
Laos,1989,22.62154
Laos,1988,22.88282
Laos,1987,22.96253
Laos,1986,22.48831
Laos,1985,22.50222
Laos,1984,22.49215
Laos,1983,22.63228
Laos,1982,22.55927
Laos,1981,22.63965
