Year,Population
2020,259579.1
2019,260182.9
2018,259058.2
2017,256180.9
2016,253067.9
2015,249489.7
2014,245669.2
2013,241710.3
2012,236078.1
2011,232496.4
2010,228708.3
2009,224651.8
2008,220540.6
2007,216466.7
2006,212397
2005,208363.1
2004,204332.7
2003,200304.8
2002,196340.2
2001,192245.2
2000,187959.1
1999,183275.6
1998,178668.1
1997,174153.4
1996,169782.9
1995,165455.1
1994,161133.2
1993,156811.3
1992,152539.6
1991,148378.2
1990,144819.2
1989,141296.5
1988,137753.4
1987,134188.5
1986,130635.2
1985,127061.9
1984,123602.9
1983,120385.7
1982,117209.2
1981,114055.5
