Entity,Year,avgTemperature
Myanmar,2020,24.13403
Myanmar,2019,24.13018
Myanmar,2018,23.57403
Myanmar,2017,23.8698
Myanmar,2016,24.03042
Myanmar,2015,23.79524
Myanmar,2014,23.97211
Myanmar,2013,23.77013
Myanmar,2012,23.82048
Myanmar,2011,23.37464
Myanmar,2010,24.23352
Myanmar,2009,23.9679
Myanmar,2008,23.42676
Myanmar,2007,23.35825
Myanmar,2006,23.57359
Myanmar,2005,23.97821
Myanmar,2004,23.34553
Myanmar,2003,23.57699
Myanmar,2002,23.52101
Myanmar,2001,23.50491
Myanmar,2000,23.21899
Myanmar,1999,23.76466
Myanmar,1998,24.17639
Myanmar,1997,23.14274
Myanmar,1996,23.4291
Myanmar,1995,23.6724
Myanmar,1994,23.48837
Myanmar,1993,23.18371
Myanmar,1992,22.80745
Myanmar,1991,23.40238
Myanmar,1990,23.14252
Myanmar,1989,23.05477
Myanmar,1988,23.52667
Myanmar,1987,23.4351
Myanmar,1986,23.23672
Myanmar,1985,22.96556
Myanmar,1984,23.00492
Myanmar,1983,22.94879
Myanmar,1982,22.93548
Myanmar,1981,23.16905
