Year,Population
2020,71475664
2019,71307763
2018,71127802
2017,70898202
2016,70607037
2015,70294397
2014,69960943
2013,69578602
2012,69157023
2011,68712846
2010,68270489
2009,67813654
2008,67328239
2007,66826754
2006,66319525
2005,65821360
2004,65311166
2003,64776956
2002,64222580
2001,63649892
2000,63066603
1999,62442651
1998,61745217
1997,60989108
1996,60211096
1995,59424834
1994,58610010
1993,57776082
1992,56939020
1991,56099865
1990,55228410
1989,54324004
1988,53410965
1987,52479181
1986,51542094
1985,50594940
1984,49636724
1983,48670565
1982,47700340
1981,46727292
