Year,avgTemperature
2020,24.41287
2019,24.81522
2018,24.24102
2017,24.20304
2016,24.52
2015,24.55076
2014,23.99339
2013,23.91596
2012,24.04886
2011,23.15001
2010,24.36501
2009,23.91103
2008,23.27289
2007,23.81123
2006,23.9832
2005,23.7699
2004,23.65601
2003,24.09454
2002,24.05637
2001,23.76807
2000,23.54709
1999,23.54594
1998,24.47479
1997,23.69996
1996,23.26904
1995,23.456
1994,23.67023
1993,23.41512
1992,23.39501
1991,23.81479
1990,23.72735
1989,23.28752
1988,23.52856
1987,24.00037
1986,23.30036
1985,23.1712
1984,23.10216
1983,23.37466
1982,23.40666
1981,23.56351
