Country,Year,Annual_CO2_Emmision
Vietnam,2022,343606620
Vietnam,2021,352553020
Vietnam,2020,363342660
Vietnam,2019,341788800
Vietnam,2018,257722290
Vietnam,2017,229642500
Vietnam,2016,223203940
Vietnam,2015,215461950
Vietnam,2014,181842880
Vietnam,2013,151437980
Vietnam,2012,144277150
Vietnam,2011,152560270
Vietnam,2010,139563840
Vietnam,2009,124493390
Vietnam,2008,114302696
Vietnam,2007,101429540
Vietnam,2006,99652260
Vietnam,2005,95845720
Vietnam,2004,88939180
Vietnam,2003,77261570
Vietnam,2002,69527790
Vietnam,2001,60983830
Vietnam,2000,53935468
Vietnam,1999,48548324
Vietnam,1998,47866350
Vietnam,1997,45502070
Vietnam,1996,35481510
Vietnam,1995,30088820
Vietnam,1994,27362152
Vietnam,1993,22853002
Vietnam,1992,21466460
Vietnam,1991,21375534
Vietnam,1990,21298646
Vietnam,1989,17397910
Vietnam,1988,23072536
Vietnam,1987,23296900
Vietnam,1986,20584666
Vietnam,1985,21097420
Vietnam,1984,17495162
Vietnam,1983,19269692
Vietnam,1982,18341628
Vietnam,1981,17695406
