Year,Population
2023,98858950
2022,98186856
2021,97468029
2020,96648685
2019,95776716
2018,94914330
2017,94033048
2016,93126529
2015,92191398
2014,91235504
2013,90267739
2012,89301326
2011,88349117
2010,87411012
2009,86482923
2008,85597241
2007,84762269
2006,83951800
2005,83142095
2004,82311227
2003,81475825
2002,80642308
2001,79817777
2000,79001142
1999,78123713
1998,77128424
1997,76058603
1996,74946448
1995,73759110
1994,72501087
1993,71176405
1992,69788747
1991,68358820
1990,66912613
1989,65466361
1988,64037514
1987,62630787
1986,61221107
1985,59811313
1984,58406863
1983,57011444
1982,55632153
1981,54280394
