Country,Year,avgTemperature
Vietnam,2024,25.43802
Vietnam,2023,24.51439
Vietnam,2022,23.97204
Vietnam,2021,24.11692
Vietnam,2020,24.41287
Vietnam,2019,24.81522
Vietnam,2018,24.24102
Vietnam,2017,24.20304
Vietnam,2016,24.52
Vietnam,2015,24.55076
Vietnam,2014,23.99339
Vietnam,2013,23.91596
Vietnam,2012,24.04886
Vietnam,2011,23.15001
Vietnam,2010,24.36501
Vietnam,2009,23.91103
Vietnam,2008,23.27289
Vietnam,2007,23.81123
Vietnam,2006,23.9832
Vietnam,2005,23.7699
Vietnam,2004,23.65601
Vietnam,2003,24.09454
Vietnam,2002,24.05637
Vietnam,2001,23.76807
Vietnam,2000,23.54709
Vietnam,1999,23.54594
Vietnam,1998,24.47479
Vietnam,1997,23.69996
Vietnam,1996,23.26904
Vietnam,1995,23.456
Vietnam,1994,23.67023
Vietnam,1993,23.41512
Vietnam,1992,23.39501
Vietnam,1991,23.81479
Vietnam,1990,23.72735
Vietnam,1989,23.28752
Vietnam,1988,23.52856
Vietnam,1987,24.00037
Vietnam,1986,23.30036
Vietnam,1985,23.1712
Vietnam,1984,23.10216
Vietnam,1983,23.37466
Vietnam,1982,23.40666
Vietnam,1981,23.56351
