Country,Year,Average
World,2020,65.9997375
World,2019,60.9807395
World,2018,52.08327225
World,2017,55.11239075
World,2016,56.3307115
World,2015,52.17943
World,2014,49.904703
World,2013,42.02689775
World,2012,42.34162825
World,2011,36.18167175
World,2010,36.197918
World,2009,26.243941
World,2008,20.65443475
World,2007,11.78951825
World,2006,13.90263
World,2005,8.41956975
World,2004,7.02254885
World,2003,5.425704125
World,2002,0.02910589575
World,2001,3.301326575,
World,2000,-1.819250895
World,1999,-1.86897135
World,1998,-7.106544675
World,1997,-3.327853075
World,1996,-9.150141625
World,1995,-10.04158725
World,1994,-16.72324075
World,1993,-20.50724925
World,1992,-10.799696
World,1991,-11.18199575
World,1990,-17.13548025
World,1989,-23.72052025
World,1988,-24.89981
World,1987,-27.315025
World,1986,-31.838301
World,1985,-34.5516295
World,1984,-30.47904675
World,1983,-29.44396275
World,1982,-29.80352875
World,1981,-30.39999575
